,NID,Return,Function,Params
1,0xace23476,,sceKernelCheckPspConfig,
2,0xa6d40f56,,,
3,0x7be1421c,,sceKernelCheckExecFile,
4,0xbf983ef2,,sceKernelProbeExecutableObject,
5,0x7068e6ba,,sceKernelLoadExecutableObject,
6,0xb4d6fecc,,sceKernelApplyElfRelSection,
7,0x54ab2675,,sceKernelApplyPspRelSection,
8,0x2952f5ac,,sceKernelDcacheWBinvAll,
9,0x4440853b,,,
10,0xd8779ac6,,sceKernelIcacheClearAll,
11,0x99a695f0,,sceKernelRegisterLibrary,
12,0x5873a31f,,sceKernelRegisterLibraryForUser,
13,0x0b464512,,sceKernelReleaseLibrary,
14,0x9baf90f6,,sceKernelCanReleaseLibrary,
15,0x0e760dba,,sceKernelLinkLibraryEntries,
16,0x0de1f600,,sceKernelLinkLibraryEntriesForUser,
17,0x5248a98f,,sceKernelLoadModuleBootLoadCore,
18,0xda1b09aa,,sceKernelUnLinkLibraryEntries,
19,0xc99dd47a,,sceKernelQueryLoadCoreCB,
20,0x7e63f86d,,,
21,0xb370df29,,,
22,0x616fcccd,,sceKernelSetBootCallbackLevel,
23,0x52a86c21,,sceKernelGetModuleFromUID,
24,0xf32a2940,,sceKernelModuleFromUID,
25,0x3bb7ac18,,,
26,0xcd0f3bac,,sceKernelCreateModule,
27,0x6b2371c2,,sceKernelDeleteModule,
28,0x8d8a8ace,,sceKernelAssignModule,
29,0x7320d964,,sceKernelModuleAssign,
30,0xa8e2d53d,,,
31,0xaff947d4,,sceKernelCreateAssignModule,
32,0x44b292ab,,sceKernelAllocModule,
33,0xbd61d4d5,,sceKernelFreeModule,
34,0xae7c6e76,,sceKernelRegisterModule,
35,0x74cf001a,,sceKernelReleaseModule,
36,0xcf8a41b1,,sceKernelFindModuleByName,
37,0xfb8ae27d,SceModule *,sceKernelFindModuleByAddress,unsigned int addr
38,0xcce4a157,,sceKernelFindModuleByUID,
39,0x929b5c69,,sceKernelGetModuleListWithAlloc,
40,0xc0913394,,,
41,0x05d915db,,sceKernelGetModuleIdListForKernel,
42,0x82ce54ed,int,sceKernelModuleCount,void
43,0xc0584f0c,int,sceKernelGetModuleList,"int readbufsize,SceUID *readbuf"
44,0xfa3101a4,,,
