,NID,Return,Function,Params
1,0x6e9ea350,,_sceKernelReturnFromCallback,
2,0x0c106e53,,sceKernelRegisterThreadEventHandler,
3,0x72f3c145,,sceKernelReleaseThreadEventHandler,
4,0x369eeb6b,,sceKernelReferThreadEventHandlerStatus,
5,0xe81caf8f,int,sceKernelCreateCallback,"const char *name,SceKernelCallbackFunction func,void *arg"
6,0xedba5844,,sceKernelDeleteCallback,
7,0xc11ba8c4,,sceKernelNotifyCallback,
8,0xba4051d6,,sceKernelCancelCallback,
9,0x2a3d44ff,,sceKernelGetCallbackCount,
10,0x349d6d6c,,sceKernelCheckCallback,
11,0x730ed8bc,int,sceKernelReferCallbackStatus,"SceUID cb,SceKernelCallbackInfo *status"
12,0x9ace131e,int,sceKernelSleepThread,void
13,0x82826f70,void,sceKernelSleepThreadCB,void
14,0xd59ead2f,int,sceKernelWakeupThread,SceUID thid
15,0xfccfad26,int,sceKernelCancelWakeupThread,SceUID thid
16,0x9944f31f,int,sceKernelSuspendThread,SceUID thid
17,0x75156e8f,int,sceKernelResumeThread,SceUID thid
18,0x278c0df5,int,sceKernelWaitThreadEnd,"SceUID thid,SceUInt *timeout"
19,0x840e8133,int,sceKernelWaitThreadEndCB,"SceUID thid,SceUInt *timeout"
20,0xceadeb47,void,sceKernelDelayThread,SceUInt delay
21,0x68da9e36,void,sceKernelDelayThreadCB,SceUInt delay
22,0xbd123d9e,,sceKernelDelaySysClockThread,
23,0x1181e963,,sceKernelDelaySysClockThreadCB,
24,0xd6da4ba1,SceUID,sceKernelCreateSema,"const char *name,SceUInt attr,int initVal,int maxVal,SceKernelSemaOptParam *option"
25,0x28b6489c,int,sceKernelDeleteSema,SceUID semaid
26,0x3f53e640,int,sceKernelSignalSema,"SceUID semaid,int signal"
27,0x4e3a1105,int,sceKernelWaitSema,"SceUID semaid,int signal,SceUInt *timeout"
28,0x6d212bac,int,sceKernelWaitSemaCB,"SceUID semaid,int signal,SceUInt *timeout"
29,0x58b1f937,int,sceKernelPollSema,"SceUID semaid,int signal"
30,0x8ffdf9a2,,sceKernelCancelSema,
31,0xbc6febc5,int,sceKernelReferSemaStatus,"SceUID semaid,SceKernelSemaInfo *info"
32,0x55c20a00,int,sceKernelCreateEventFlag,"const char *name,int unk1,int bits,int unk3"
33,0xef9e4c70,int,sceKernelDeleteEventFlag,int evid
34,0x1fb15a32,int,sceKernelSetEventFlag,"int evid,u32 bits"
35,0x812346e4,,sceKernelClearEventFlag,
36,0x402fcf22,int,sceKernelWaitEventFlag,"int evid,u32 bits,u32 wait,u32 *outBits,void *arg"
37,0x328c546a,,sceKernelWaitEventFlagCB,
38,0x30fd48f0,int,sceKernelPollEventFlag,"int evid,u32 bits,u32 wait,u32 *outBits"
39,0xcd203292,,sceKernelCancelEventFlag,
40,0xa66b0120,int,sceKernelReferEventFlagStatus,"SceUID event,SceKernelEventFlagInfo *status"
41,0x8125221d,SceUID,sceKernelCreateMbx,"const char *name,SceUInt attr,SceKernelMbxOptParam *option"
42,0x86255ada,int,sceKernelDeleteMbx,SceUID mbxid
43,0xe9b3061e,int,sceKernelSendMbx,"SceUID mbxid,void *message"
44,0x18260574,int,sceKernelReceiveMbx,"SceUID mbxid,void * *pmessage,SceUInt *timeout"
45,0xf3986382,int,sceKernelReceiveMbxCB,"SceUID mbxid,void * *pmessage,SceUInt *timeout"
46,0x0d81716a,int,sceKernelPollMbx,"SceUID mbxid,void * *pmessage"
47,0x87d4dd36,int,sceKernelCancelReceiveMbx,"SceUID mbxid,int *pnum"
48,0xa8e8c846,int,sceKernelReferMbxStatus,"SceUID mbxid,SceKernelMbxInfo *info"
49,0x7c0dc2a0,,sceKernelCreateMsgPipe,
50,0xf0b7da1c,,sceKernelDeleteMsgPipe,
51,0x876dbfad,,sceKernelSendMsgPipe,
52,0x7c41f2c2,,sceKernelSendMsgPipeCB,
