,NID,Return,Function,Params
1,0xc41c2853,u32,sceRtcGetTickResolution,
2,0x3f7ad767,int,sceRtcGetCurrentTick,u64 *tick
3,0x029ca3b3,,,
4,0x011f03c1,,,
5,0x4cfa57b0,int,sceRtcGetCurrentClock,"pspTime *time,int tz"
6,0xe7c27d1b,int,sceRtcGetCurrentClockLocalTime,pspTime *time
7,0x203ceb0d,,,
8,0x34885e0d,int,sceRtcConvertUtcToLocalTime,"const u64 *tickUTC,u64 *tickLocal"
9,0x62685e98,,,
10,0x779242a2,int,sceRtcConvertLocalTimeToUTC,"const u64 *tickLocal,u64 *tickUTC"
11,0x42307a17,int,sceRtcIsLeapYear,int year
12,0x05ef322c,int,sceRtcGetDaysInMonth,"int year,int month"
13,0x57726bc1,int,sceRtcGetDayOfWeek,"int year,int month,int day"
14,0x4b1b5e82,int,sceRtcCheckValid,const pspTime *date
15,0x3a807cc8,,sceRtcSetTime_t,
16,0x27c4594c,,sceRtcGetTime_t,
17,0xf006f264,,sceRtcSetDosTime,
18,0x36075567,,sceRtcGetDosTime,
