,NID,Return,Function,Params
1,0xd1f59fdb,,sceAtracStartEntry,
2,0xd5c28cc0,,sceAtracEndEntry,
3,0x780f88d1,,sceAtracGetAtracID,
4,0x61eb33f5,int,sceAtracReleaseAtracID,int atracID
5,0x0e2a73ab,,sceAtracSetData,
6,0x3f6e26b5,,sceAtracSetHalfwayBuffer,
7,0x7a20e7af,int,sceAtracSetDataAndGetID,"void *buf,SceSize bufsize"
8,0x0fae370e,,sceAtracSetHalfwayBufferAndGetID,
9,0x6a8c3cd5,int,sceAtracDecodeData,"int atracID,u16 *outSamples,int *outN,int *outEnd,int *outRemainFrame"
10,0x9ae849a7,int,sceAtracGetRemainFrame,"int atracID,int *outRemainFrame"
11,0x5d268707,,sceAtracGetStreamDataInfo,
12,0x7db31251,,sceAtracAddStreamData,
13,0x83e85ea0,,sceAtracGetSecondBufferInfo,
14,0x83bf7afd,,sceAtracSetSecondBuffer,
15,0xe23e3a35,,sceAtracGetNextDecodePosition,
16,0xa2bba8be,,sceAtracGetSoundSample,
17,0x31668baa,,sceAtracGetChannel,
18,0xd6a5f2f7,int,sceAtracGetMaxSample,"int atracID,int *outMax"
19,0x36faabfb,int,sceAtracGetNextSample,"int atracID,int *outN"
20,0xa554a158,int,sceAtracGetBitrate,"int atracID,int *outBitrate"
21,0xfaa4f89b,,sceAtracGetLoopStatus,
22,0x868120b5,int,sceAtracSetLoopNum,"int atracID,int nloops"
23,0xca3ca3d2,,sceAtracGetBufferInfoForReseting,
24,0x644e5607,,sceAtracResetPlayPosition,
25,0xe88f759b,,sceAtracGetInternalErrorInfo,
