,NID,Return,Function,Params
1,0xbfa98062,void,sceKernelDcacheInvalidateRange,"const void *p,unsigned int size"
2,0xc8186a58,int,sceKernelUtilsMd5Digest,"u8 *data,u32 size,u8 *digest"
3,0x9e5c5086,int,sceKernelUtilsMd5BlockInit,SceKernelUtilsMd5Context *ctx
4,0x61e1e525,int,sceKernelUtilsMd5BlockUpdate,"SceKernelUtilsMd5Context *ctx,u8 *data,u32 size"
5,0xb8d24e78,int,sceKernelUtilsMd5BlockResult,"SceKernelUtilsMd5Context *ctx,u8 *digest"
6,0x840259f1,int,sceKernelUtilsSha1Digest,"u8 *data,u32 size,u8 *digest"
7,0xf8fcd5ba,int,sceKernelUtilsSha1BlockInit,SceKernelUtilsSha1Context *ctx
8,0x346f6da8,int,sceKernelUtilsSha1BlockUpdate,"SceKernelUtilsSha1Context *ctx,u8 *data,u32 size"
9,0x585f1c09,int,sceKernelUtilsSha1BlockResult,"SceKernelUtilsSha1Context *ctx,u8 *digest"
10,0xe860e75e,int,sceKernelUtilsMt19937Init,"SceKernelUtilsMt19937Context *ctx,u32 seed"
11,0x06fb8a63,u32,sceKernelUtilsMt19937UInt,SceKernelUtilsMt19937Context *ctx
12,0x37fb5c42,,sceKernelGetGPI,
13,0x6ad345d7,,sceKernelSetGPO,
14,0x91e4f6a7,clock_t,sceKernelLibcClock,void
15,0x27cc57f0,time_t,sceKernelLibcTime,time_t *t
16,0x71ec4271,int,sceKernelLibcGettimeofday,"struct timeval *tp,struct timezone *tzp"
17,0x79d1c3fa,void,sceKernelDcacheWritebackAll,void
18,0xb435dec5,void,sceKernelDcacheWritebackInvalidateAll,void
19,0x3ee30821,void,sceKernelDcacheWritebackRange,"const void *p,unsigned int size"
20,0x34b9fa9e,void,sceKernelDcacheWritebackInvalidateRange,"const void *p,unsigned int size"
21,0x80001c4c,,sceKernelDcacheProbe,
22,0x77dff087,,,
23,0x16641d70,,sceKernelDcacheReadTag,
24,0x4fd31c9d,,sceKernelIcacheProbe,
25,0xfb05fad0,,sceKernelIcacheReadTag,
26,0x920f104a,,sceKernelIcacheInvalidateAll,
27,0xc2df770e,,sceKernelIcacheInvalidateRange,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
