,NID,Return,Function,Params
1,0xe7a3874d,,sceKernelRegisterAssertHandler,
2,0x23906fb2,,,
3,0x2ff4e9f9,,sceKernelAssert,
4,0x9b868276,PspDebugPutChar,sceKernelGetDebugPutchar,void
5,0xe146606d,void,sceKernelRegisterDebugPutchar,PspDebugPutChar func
6,0x7ceb2c09,,sceKernelRegisterKprintfHandler,
7,0xafb8fc80,,,
8,0x84f370bc,void,Kprintf,"const char *format,"
9,0x5ce9838b,,sceKernelDebugWrite,
10,0x66253c4e,,sceKernelRegisterDebugWrite,
11,0xdbb5597f,,sceKernelDebugRead,
12,0xe6554fda,,sceKernelRegisterDebugRead,
13,0xb9c643c9,,sceKernelDebugEcho,
14,0x7d1c74f0,,sceKernelDebugEchoSet,
15,0x8b041dfb,,,
16,0x24c32559,,,
17,0xd636b827,,sceKernelRemoveByDebugSection,
18,0x5282dd5e,,,
19,0xee75658d,,,
20,0x9f8703e4,,,
21,0x333dcec7,,,
22,0x428a8da3,,,
23,0xe892d9a1,,,
24,0xffd2f2b9,,,
25,0xa126f497,,,
26,0xb7251823,,sceKernelAcceptMbogoSig,
27,0x72e6b3b8,,,
28,0xa216ae06,,,
