,NID,Return,Function,Params
1,0x21ff80e4,SceInt32,sceMpegQueryStreamOffset,"SceMpeg *Mpeg,ScePVoid pBuffer,SceInt32 *iOffset"
2,0x611e9e11,SceInt32,sceMpegQueryStreamSize,"ScePVoid pBuffer,SceInt32 *iSize"
3,0x682a619b,SceInt32,sceMpegInit,
4,0x874624d6,SceVoid,sceMpegFinish,
5,0xc132e22f,SceInt32,sceMpegQueryMemSize,int iUnk
6,0xd8c5f121,SceInt32,sceMpegCreate,"SceMpeg *Mpeg,ScePVoid pData,SceInt32 iSize,SceMpegRingbuffer *Ringbuffer,SceInt32 iFrameWidth,SceInt32 iUnk1,SceInt32 iUnk2"
7,0x606a4649,SceVoid,sceMpegDelete,SceMpeg *Mpeg
8,0x42560f23,SceMpegStream *,sceMpegRegistStream,"SceMpeg *Mpeg,SceInt32 iStreamID,SceInt32 iUnk"
9,0x591a4aa2,SceVoid,sceMpegUnRegistStream,"SceMpeg Mpeg,SceMpegStream *pStream"
10,0xa780cf7e,ScePVoid,sceMpegMallocAvcEsBuf,SceMpeg *Mpeg
11,0xceb870b1,SceVoid,sceMpegFreeAvcEsBuf,"SceMpeg *Mpeg,ScePVoid pBuf"
12,0xf8dcb679,SceInt32,sceMpegQueryAtracEsSize,"SceMpeg *Mpeg,SceInt32 *iEsSize,SceInt32 *iOutSize"
13,0xc02cf6b5,,sceMpegQueryPcmEsSize,
14,0x167afd9e,SceInt32,sceMpegInitAu,"SceMpeg *Mpeg,ScePVoid pEsBuffer,SceMpegAu *pAu"
15,0x234586ae,,sceMpegChangeGetAvcAuMode,
16,0x9dcfb7ea,,sceMpegChangeGetAuMode,
17,0xfe246728,SceInt32,sceMpegGetAvcAu,"SceMpeg *Mpeg,SceMpegStream *pStream,SceMpegAu *pAu,SceInt32 *iUnk"
18,0x8c1e027d,,sceMpegGetPcmAu,
19,0xe1ce83a7,SceInt32,sceMpegGetAtracAu,"SceMpeg *Mpeg,SceMpegStream *pStream,SceMpegAu *pAu,ScePVoid pUnk"
20,0x500f0429,,sceMpegFlushStream,
21,0x707b7629,SceInt32,sceMpegFlushAllStream,SceMpeg *Mpeg
22,0x0e3c2e9d,SceInt32,sceMpegAvcDecode,"SceMpeg *Mpeg,SceMpegAu *pAu,SceInt32 iFrameWidth,ScePVoid pBuffer,SceInt32 *iInit"
23,0x0f6c18d7,,sceMpegAvcDecodeDetail,
24,0xa11c7026,SceInt32,sceMpegAvcDecodeMode,"SceMpeg *Mpeg,SceMpegAvcMode *pMode"
25,0x740fccd1,SceInt32,sceMpegAvcDecodeStop,"SceMpeg *Mpeg,SceInt32 iFrameWidth,ScePVoid pBuffer,SceInt32 *iStatus"
26,0x4571cc64,,,
27,0x800c44df,SceInt32,sceMpegAtracDecode,"SceMpeg *Mpeg,SceMpegAu *pAu,ScePVoid pBuffer,SceInt32 iInit"
28,0x211a057c,,,
29,0xd7a29f46,SceInt32,sceMpegRingbufferQueryMemSize,SceInt32 iPackets
30,0x37295ed8,SceInt32,sceMpegRingbufferConstruct,"SceMpegRingbuffer *Ringbuffer,SceInt32 iPackets,ScePVoid pData,SceInt32 iSize,sceMpegRingbufferCB Callback,ScePVoid pCBparam"
31,0x67179b1b,,,
32,0x13407f13,SceVoid,sceMpegRingbufferDestruct,SceMpegRingbuffer *Ringbuffer
33,0xf0eb1125,,,
34,0xf2930c9c,,,
35,0xb240a59e,SceInt32,sceMpegRingbufferPut,"SceMpegRingbuffer *Ringbuffer,SceInt32 iNumPackets,SceInt32 iAvailable"
36,0xb5f6dc87,SceInt32,sceMpegRingbufferAvailableSize,SceMpegRingbuffer *Ringbuffer
37,0x31bd0272,,,
38,0x11cab459,,,
39,0x3c37a7a6,,,
40,0xb27711a8,,,
41,0xd4dd6e75,,,
42,0xc345ded2,,,
43,0xcf3547a2,,sceMpegAvcDecodeDetail2,
44,0x988e9e12,,,
45,0xc2f02cdd,,,
46,0xdbb60658,,,
47,0xab0e9556,,,
48,0x921fcccf,,,
49,0x11f95cf1,,,
50,0x6f314410,,,
