,NID,Return,Function,Params
1,0x2b51fe2f,,,
2,0x442bfbac,,,
3,0xefd3c963,int,scePowerTick,int unknown
4,0xedc13fe5,int,scePowerGetIdleTimer,void
5,0x7f30b3b1,int,scePowerIdleTimerEnable,int unknown
6,0x972ce941,int,scePowerIdleTimerDisable,int unknown
7,0x27f3292c,,scePowerBatteryUpdateInfo,
8,0xe8e4e204,,,
9,0xb999184c,,scePowerGetLowBatteryCapacity,
10,0x87440f5e,int,scePowerIsPowerOnline,void
11,0x0afd0d8b,int,scePowerIsBatteryExist,void
12,0x1e490401,int,scePowerIsBatteryCharging,void
13,0xb4432bc8,int,scePowerGetBatteryChargingStatus,void
14,0xd3075926,int,scePowerIsLowBattery,void
15,0x78a1a796,,,
16,0x94f5a53f,,scePowerGetBatteryRemainCapacity,
17,0xfd18a0ff,,,
18,0x2085d15d,int,scePowerGetBatteryLifePercent,void
19,0x8efb3fa2,int,scePowerGetBatteryLifeTime,void
20,0x28e12023,int,scePowerGetBatteryTemp,void
21,0x862ae1a6,int,scePowerGetBatteryElec,void
22,0x483ce86b,int,scePowerGetBatteryVolt,void
23,0x23436a4a,,,
24,0x0cd21b1f,,,
25,0x165ce085,,,
26,0xd6d016ef,int,scePowerLock,int unknown
27,0x23c31ffe,,,
28,0xfa97a599,,,
29,0xca3d34c1,int,scePowerUnlock,int unknown
30,0xb3edd801,,,
31,0xdb62c9cf,,scePowerCancelRequest,
32,0x7fa406dd,,scePowerIsRequest,
33,0x2b7c7cf4,,scePowerRequestStandby,
34,0xac32c9cc,,scePowerRequestSuspend,
35,0x2875994b,,,
36,0x3951af53,,scePowerEncodeUBattery,
37,0x0074ef9b,,scePowerGetResumeCount,
38,0x04b7766e,int,scePowerRegisterCallback,"int slot,SceUID cbid"
39,0xdfa8baf8,,scePowerUnregisterCallback,
40,0x0442d852,,,
41,0xdb9d28dd,,scePowerUnregitserCallback,
42,0x843fbf43,int,scePowerSetCpuClockFrequency,int cpufreq
43,0xb8d7b3fb,int,scePowerSetBusClockFrequency,int busfreq
44,0xfee03a2f,int,scePowerGetCpuClockFrequency,void
45,0x478fe6f5,int,scePowerGetBusClockFrequency,void
46,0xfdb5bfe9,int,scePowerGetCpuClockFrequencyInt,void
47,0xbd681969,int,scePowerGetBusClockFrequencyInt,void
48,0xb1a52c83,float,scePowerGetCpuClockFrequencyFloat,void
49,0x9badb3eb,float,scePowerGetBusClockFrequencyFloat,void
50,0x737486f2,int,scePowerSetClockFrequency,"int cpufreq,int ramfreq,int busfreq"
51,0x34f9c463,,,
52,0xea382a27,,,
